Бързи и яростни 7	5.0	http://www.cinexio.com/sofia/movie/21608	null	null
0
Пяната на дните	62.	http://www.cinexio.com/sofia/movie/9426	http://www.imdb.com/title/tt2027140/	6.5
0
Светлите дни предстоят	86.	http://www.cinexio.com/sofia/movie/9149	http://www.imdb.com/title/tt2379318/	6.2
2
Фани Ардан е ВЕЛИКА!!!	5.0
Много приятен филм!Ардан е великолепна.	4.0
Кутия за храна	39.	http://www.cinexio.com/sofia/movie/11833	http://www.imdb.com/title/tt2350496/	7.8
4
super	5.0
Страхотен!!	5.0
Сблъсък с различна култура, поденесена леко и приятно... като кутия с прекрасна храна, която не е била предназначена за теб.	4.5
Страхотен и много свеж филм!!	4.5
Филомена	92.	http://www.cinexio.com/sofia/movie/9155	http://www.imdb.com/title/tt2431286/	7.7
3
Много добър. Джуди Денч прекрасна.	5.0
Чудесен филм. Позорните тайни на католическата църква не трябва да остават скрити.	5.0
Силна игра на Денч!	4.0
360	21.	http://www.cinexio.com/sofia/movie/1897	http://www.imdb.com/title/tt1680045/	6.2
2
Очаквах повече!	4.0
Много добро филмче. Всички играят супер. Фабулата е интересна.	4.0
Истинският Сен Лоран	43.	http://www.cinexio.com/sofia/movie/12005	http://www.imdb.com/title/tt2707858/	6.2
5
Истински, красив и тежък	5.0
Филмът акцентира на определен период от живота му, като отрязък, без начало, без край.1вата версия ми допадна повече	4.5
Трябва да се гледа. Впечатляваща музика и емоция във филма за личността на гениалния Ив Сен Лоран.	5.0
Великолепен филм, изпълнен с емоция! Невероятните актьорска игра, режисура и музика го правят незабравим!!	5.0
удобрен	5.0
7 дни в Хавана	43.	http://www.cinexio.com/sofia/movie/1378	http://www.imdb.com/title/tt1797348/	6.0
2
страхотен филм. препоръчвам	5.0
Нищо особено...	2.5
Великата красота	91.	http://www.cinexio.com/sofia/movie/11999	http://www.imdb.com/title/tt2358891/	7.7
9
Страхотен! Филм който не бих могъл да разкажа.	5.0
Скучен и отегчаващ филм!!!	3.0
Великолепен! Филм, който не подхранва нуждата от развлечение. Създава чувство, а то винаги ще те връща в този миг.	5.0
Много хубав :)	5.0
Красота изградена от картини и звук	5.0
Много ми хареса!  Различен от всичко  което съм гледал. Красив филм с много хубава музика...	5.0
Странно хубав филм.	5.0
Прелестен филм!!!	5.0
Прекалено е хубав, за да се гледа само веднъж!	5.0
Бързи и яростни 6	4.	http://www.cinexio.com/sofia/movie/2188	http://www.imdb.com/title/tt1905041/	7.2
4
Филма е супер. Единствено последната сцена е "малко" пресилена.	4.5
Определено си заслужава !	5.0
Който е фен на поредицата ще оцени филма, но на места са прекалили със специалните ефекти.	5.0
Като се изключат сърцераздирателните диалози, филма е супер.	4.0
Лешояда	3.9	http://www.cinexio.com/sofia/movie/20878	http://www.imdb.com/title/tt2872718/	8.0
14
Потресаващо як!	5.0
Очаквах повече...  разочароващо...	2.0
Един от малкото интересни филми в последно време!	5.0
Колко можеш да паднеш? Тоя пич прави страшна роля.	4.0
Kakvi bezkupolni bez chustveni hora ima, filma e unikalen, obache trqbva vtora chast takiva hora ne zaslujavat happy end	5.0
Глупав и безмислен	1.0
Страшно безсмислен филм!!! Не правете като мен грешката да го гледате!	1.0
Много хубав ,но и показва какви може да сме ...	5.0
По-добре за вкъщи	4.0
Втрещяващо вярна картина на медийния бизнес. Преглед на  трансформация на човек под натиска на жаждата за кариера и пари. Гледайте!	4.5
Филм, който показва колко подли можем да бъдем в стремежа си за успех!	5.0
Много добър филм и перфектен Джейк Гиленхал!	5.0
Хубав филм... Заслужава си...	4.0
Opredeleno si zaslujava.	5.0
Принцесата на Монако	10.	http://www.cinexio.com/sofia/movie/14940	http://www.imdb.com/title/tt2095649/	5.6
27
Лентата така и не решава какво всъщност ще представи: биографична история, любовна интрига или пък политически трилър.	4.0
Филмът надмина всичките ми очаквания за блудкава историйка, беше много смислен и реалистично представен.	5.0
Уникален!	5.0
Супер филм с много слаб финал	4.0
Много красив филм, много ми хареса. Гледайте го!	5.0
Въпреки лошата оценка в IMDB, филмът е добър, макар и исторически неточен.	4.0
много красив и интересен филм, определено ми хареса	5.0
5	5.0
velikolepen film za ceniteli i osuznati hora..	5.0
Принцеса Грейс изиграва най - великата си роля не на сцената, а в реалния живот и с женската си интуиция променя хода на събитията!	5.0
Прекрасен филм	5.0
Прекрасен филм!	5.0
Страхотен филм :)	5.0
привлича вниманието,	5.0
Много хубав филм! Никол Кидман е на висота както винаги :)	5.0
Великолепна игра! Никол Кидман е повече от прекрасна!!! Чудесен филм!!! Много вдъхновяващ!!! :)	5.0
Страхотен филм! Никол Кидман показа невероятна актьорска класа, дано ролята и донесе Оскар, подобно на персонажа й!	5.0
Филма е много хубав,принцесата е представена много добре.Никол Кидман прави блестяща роля! :)	4.0
Филмът беше прекрасен. Не е "unreal".. Все пак е художествен филм, а не биографичен. Гледайте го!	5.0
